ClientIP,URL,TimeStamp,IsUrlBlocked
127.0.0.1,http://gtu.ac.in/SliderImages/GTU-Home%20Page%20Pics.png,2023-10-27 23:12:57.478522,False
127.0.0.1,http://gtu.ac.in/assets/vendor/jquery/jquery.min.js,2023-10-27 23:12:57.482187,False
127.0.0.1,http://gtu.ac.in/assets/img/G20.png,2023-10-27 23:12:57.478522,False
127.0.0.1,http://gtu.ac.in/assets/vendor/popper.js/umd/popper.min.js,2023-10-27 23:12:57.482187,False
127.0.0.1,http://gtu.ac.in/assets/vendor/font-awesome/fonts/fontawesome-webfont3e6e.woff2?v=4.7.0,2023-10-27 23:12:57.610352,False
127.0.0.1,http://gtu.ac.in/assets/vendor/bootstrap/dist/js/bootstrap.min.js,2023-10-27 23:12:57.628125,False
127.0.0.1,http://gtu.ac.in/assets/vendor/jquery-easing/jquery.easing.min.js,2023-10-27 23:12:57.650917,False
127.0.0.1,http://gtu.ac.in/assets/img/slider-bg.jpg,2023-10-27 23:12:57.730365,False
127.0.0.1,http://gtu.ac.in/assets/vendor/themify-icons/fonts/themify9f24.woff?-fvbane,2023-10-27 23:12:57.718397,False
127.0.0.1,http://gtu.ac.in/images/VCMadam.jpg,2023-10-27 23:12:57.750829,False
127.0.0.1,http://gtu.ac.in/assets/img/namo.png,2023-10-27 23:12:57.774114,False
127.0.0.1,http://gtu.ac.in/SliderImages/P1.JPG,2023-10-27 23:12:57.765444,False
127.0.0.1,http://gtu.ac.in/assets/vendor/fancybox/js/jquery.fancybox.min.js,2023-10-27 23:12:57.802041,False
127.0.0.1,http://gtu.ac.in/assets/vendor/owlcarousel/js/owl.carousel.min.js,2023-10-27 23:12:57.847767,False
127.0.0.1,http://gtu.ac.in/assets/vendor/swiper/js/swiper.js,2023-10-27 23:12:57.880098,False
127.0.0.1,http://gtu.ac.in/assets/vendor/wow/wow.min.js,2023-10-27 23:12:58.016434,False
127.0.0.1,http://gtu.ac.in/assets/js/jquery-plugin-collection.js,2023-10-27 23:12:58.183485,False
127.0.0.1,http://gtu.ac.in/assets/js/script.js,2023-10-27 23:12:58.191052,False
127.0.0.1,http://gtu.ac.in/scripts/html-table-search.js,2023-10-27 23:12:58.258198,False
127.0.0.1,http://gtu.ac.in/assets/js/functions.js,2023-10-27 23:12:58.258198,False
127.0.0.1,http://gtu.ac.in/scripts/lightgallery-all.min.js,2023-10-27 23:12:58.258198,False
127.0.0.1,http://gtu.ac.in/SliderImages/P2.JPG,2023-10-27 23:12:58.383982,False
127.0.0.1,http://gtu.ac.in/SliderImages/slider-12.jpg,2023-10-27 23:12:58.396673,False
127.0.0.1,http://gtu.ac.in/SliderImages/slider-11.jpg,2023-10-27 23:12:58.429864,False
127.0.0.1,http://gtu.ac.in/SliderImages/slider-9.JPG,2023-10-27 23:12:58.484507,False
127.0.0.1,http://gtu.ac.in/SliderImages/slider-5.jpg,2023-10-27 23:12:58.800219,False
127.0.0.1,http://gtu.ac.in/SliderImages/slider-10.JPG,2023-10-27 23:12:58.797227,False
127.0.0.1,http://gtu.ac.in/SliderImages/slider-7.jpg,2023-10-27 23:12:59.014639,False
